來源,文章名,作者名
105 年全國語文競賽閩南語朗讀文章 高中職組04,天公疼好人,王亮月
105 年全國語文競賽閩南語朗讀文章 教大組09,喜樹仔烏貓,王亮月
105 年全國語文競賽閩南語朗讀文章 教師組12,「期待」煞變「傷害」,王朝源
105 年全國語文競賽閩南語朗讀文章 國中組03,烏嘛嘛,吳令宜
104年教育部閩客語文學獎,病,邱偉欣
105 年全國語文競賽閩南語朗讀文章 高中職組02,總舖師的圍爐菜,沈祚瑋
105 年全國語文競賽閩南語朗讀文章 高中職組06,黃金雨,李筱雯
105 年全國語文競賽閩南語朗讀文章 高中職組08,電子時代,范嘉云
105 年全國語文競賽閩南語朗讀文章 高中職組01,天然的四秀仔,林美麗
104年教育部閩客語文學獎,百日孝子,林美麗
105 年全國語文競賽閩南語朗讀文章 教大組07,典雅閩南語來做伴,林滿足
104年教育部閩客語文學獎,醫學研討會,林漢森
104年教育部閩客語文學獎,阿英仔,林曉瑛
105 年全國語文競賽閩南語朗讀文章 教大組08,臺灣水牛,後山人
104年教育部閩客語文學獎,趁外路仔,洪協強
105 年全國語文競賽閩南語朗讀文章 教師組06,懷念的山城──平溪,洪振春
105 年全國語文競賽閩南語朗讀文章 教師組03,菜瓜糜,洪淑昭
105 年全國語文競賽閩南語朗讀文章 教大組02,霧夜的燈塔,洪淑昭
105 年全國語文競賽閩南語朗讀文章 教師組08,山海城市,紀春綢
105 年全國語文競賽閩南語朗讀文章 教大組06,遊學,夏玉華
105 年全國語文競賽閩南語朗讀文章 高中職組07,行路的體會,徐華聲
105 年全國語文競賽閩南語朗讀文章 高中職組09,南迴鐵路,涂瑛砡
105 年全國語文競賽閩南語朗讀文章 教大組03,溫暖的七箍銀,郭家華
104年教育部閩客語文學獎,閣行一擺彼條故鄉的路,陳正雄
104年教育部閩客語文學獎,管區的,陳正雄
104年教育部閩客語文學獎,活欲死欲活,陳廷宣
104年教育部閩客語文學獎,天欲光的時,陳沛宜
104年教育部閩客語文學獎,天漸漸光，新中街,陳利成
105 年全國語文競賽閩南語朗讀文章 國中組04,愛讀暗學仔的阿母,陳秋貴
105 年全國語文競賽閩南語朗讀文章 教師組07,開墾一坵福田,彩禾
105 年全國語文競賽閩南語朗讀文章 國中組05,熱天的幸福,曾菁怡
105 年全國語文競賽閩南語朗讀文章 國小組02,鉸頭鬃,程惠如
104年教育部閩客語文學獎,鞏金的內褲,董耀鴻
105 年全國語文競賽閩南語朗讀文章 國小組01,阮兜的早頓,黃文俊
104年教育部閩客語文學獎,廟公是『007』,黃文俊
105 年全國語文競賽閩南語朗讀文章 高中職組05,勤儉較有底，浪費不成家,黃靜惠
105 年全國語文競賽閩南語朗讀文章 教大組10,予大家的一張批,廖妍媚
105 年全國語文競賽閩南語朗讀文章 社會組11,海口新港,蔡連真
105 年全國語文競賽閩南語朗讀文章 教大組05,阿媽的番薯,蔡連真
105 年全國語文競賽閩南語朗讀文章 教師組05,性命中起大湧的彼一冬,蔡惠芬
105 年全國語文競賽閩南語朗讀文章 社會組10,思念認真拍拚的細漢小弟,蔡惠芬
105 年全國語文競賽閩南語朗讀文章 高中職組03,泳渡日月潭,劉文桂
104年教育部閩客語文學獎,一場無練習的比賽,劉孟宜
104年教育部閩客語文學獎,辜負,劉承賢
105 年全國語文競賽閩南語朗讀文章 社會組07,基隆的後花園,賴錫真
105 年全國語文競賽閩南語朗讀文章 社會組12,苦瓜封的母愛,謝惠珠
105 年全國語文競賽閩南語朗讀文章 高中職組10,蘆花開，來去蘆洲心花開,魏俊陽
105 年全國語文競賽閩南語朗讀文章 國中組08,故鄉的楊桃欉,簡繡芬
104年教育部閩客語文學獎,都市囡仔草地倯,蘇世雄
105 年全國語文競賽閩南語朗讀文章 教師組02,暗光鳥咧叫的時,霽虹
